,Ranking,TV_Show,Channel,Duration,Ranking_Percent,Datetime,Month,Week,Day,Hour,Minute,Day_of_week
0,1,האח הגדול 2020,רשת 13,152.0,20.1,2020-01-01 21:12:00,1,1,1,21,12,2
1,2,חדשות 12,קשת 12,88.0,14.0,2020-01-01 19:56:00,1,1,1,19,56,2
2,3,הצינור,רשת 13,22.0,13.8,2020-01-01 23:43:00,1,1,1,23,43,2
3,4,תכנית חיסכון 12,קשת 12,32.0,12.2,2020-01-01 19:21:00,1,1,1,19,21,2
4,5,חדשות 13,רשת 13,75.0,11.2,2020-01-01 19:57:00,1,1,1,19,57,2
5,6,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,30.0,8.9,2020-01-01 18:47:00,1,1,1,18,47,2
6,7,המתחזים עם חיים אתגר 2020,קשת 12,89.0,8.9,2020-01-01 21:24:00,1,1,1,21,24,2
7,8,חמש עם רפי רשף 12,קשת 12,56.0,8.0,2020-01-01 16:59:00,1,1,1,16,59,2
8,9,שש עם עודד בן עמי 12,קשת 12,49.0,7.8,2020-01-01 17:57:00,1,1,1,17,57,2
9,10,חברות עונה 3 ש.ח,רשת 13,33.0,6.7,2020-01-01 00:13:00,1,1,1,0,13,2
10,11,לפני החדשות,רשת 13,42.0,6.4,2020-01-01 18:45:00,1,1,1,18,45,2
12,13,מהדורה ראשונה 12,קשת 12,53.0,5.9,2020-01-01 16:06:00,1,1,1,16,6,2
13,14,שש - אמנון לוי,רשת 13,52.0,5.1,2020-01-01 17:54:00,1,1,1,17,54,2
14,15,חי בלילה עונה 12,קשת 12,30.0,4.6,2020-01-01 23:10:00,1,1,1,23,10,2
15,16,העולם הבוקר,רשת 13,120.0,3.9,2020-01-01 06:59:00,1,1,1,6,59,2
16,17,החדשות עם יעקב אילון,רשת 13,55.0,3.8,2020-01-01 16:55:00,1,1,1,16,55,2
17,18,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,122.0,3.7,2020-01-01 06:58:00,1,1,1,6,58,2
19,20,הדוח היומי,רשת 13,45.0,3.4,2020-01-01 16:10:00,1,1,1,16,10,2
20,1,חדשות 12,קשת 12,82.0,15.3,2020-02-01 19:56:00,2,5,1,19,56,5
21,2,עובדה 2020,קשת 12,77.0,14.4,2020-02-01 21:19:00,2,5,1,21,19,5
22,3,תכנית חיסכון 12,קשת 12,28.0,12.9,2020-02-01 19:25:00,2,5,1,19,25,5
23,4,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,32.0,11.3,2020-02-01 18:46:00,2,5,1,18,46,5
24,5,שש עם עודד בן עמי 12,קשת 12,49.0,8.7,2020-02-01 17:57:00,2,5,1,17,57,5
25,6,רפי רשף אינטימי,קשת 12,28.0,8.2,2020-02-01 22:45:00,2,5,1,22,45,5
26,7,חמש עם רפי רשף 12,קשת 12,56.0,7.1,2020-02-01 16:59:00,2,5,1,16,59,5
27,8,חדשות 13,רשת 13,88.0,6.9,2020-02-01 19:57:00,2,5,1,19,57,5
28,9,לפני החדשות,רשת 13,43.0,6.7,2020-02-01 18:44:00,2,5,1,18,44,5
30,11,שווה כסף,רשת 13,25.0,6.3,2020-02-01 19:27:00,2,5,1,19,27,5
31,12,שש - אמנון לוי,רשת 13,51.0,5.4,2020-02-01 17:53:00,2,5,1,17,53,5
32,13,מהדורה ראשונה 12,קשת 12,50.0,5.1,2020-02-01 16:08:00,2,5,1,16,8,5
33,14,גב האומה עונה 11,רשת 13,34.0,4.9,2020-02-01 22:39:00,2,5,1,22,39,5
34,15,הבתים היפים בישראל,קשת 12,33.0,4.7,2020-02-01 23:13:00,2,5,1,23,13,5
35,16,העולם הבוקר,רשת 13,120.0,4.3,2020-02-01 07:00:00,2,5,1,7,0,5
36,17,היום שהיה עם טל ברמן,רשת 13,32.0,4.1,2020-02-01 23:13:00,2,5,1,23,13,5
37,18,החדשות עם יעקב אילון,רשת 13,55.0,3.6,2020-02-01 16:55:00,2,5,1,16,55,5
38,19,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,123.0,3.4,2020-02-01 06:56:00,2,5,1,6,56,5
39,20,העולם הבוקר - רגע לפני,רשת 13,45.0,3.0,2020-02-01 06:15:00,2,5,1,6,15,5
40,1,אולפן שישי 12,קשת 12,98.0,13.3,2020-03-01 19:57:00,3,9,1,19,57,6
41,2,סבריי מרנן עונה 6,קשת 12,34.0,11.3,2020-03-01 21:34:00,3,9,1,21,34,6
42,3,סבריי מרנן עונה 6,קשת 12,37.0,10.8,2020-03-01 22:08:00,3,9,1,22,8,6
43,4,אולפן שישי 12 - מהדורה מוקדמת,קשת 12,28.0,9.0,2020-03-01 19:28:00,3,9,1,19,28,6
44,5,שי בשידור,רשת 13,70.0,7.7,2020-03-01 21:40:00,3,9,1,21,40,6
45,6,אופירה וברקוביץ' - עונה 3,קשת 12,82.0,7.1,2020-03-01 18:05:00,3,9,1,18,5,6
46,7,שישי עם אילה חסון,רשת 13,104.0,6.9,2020-03-01 19:56:00,3,9,1,19,56,6
47,8,שישי - סיכום שבוע,רשת 13,51.0,6.6,2020-03-01 19:05:00,3,9,1,19,5,6
49,10,המסע המופלא של אהרוני וגידי עונה 3 ש.ח,רשת 13,49.0,5.7,2020-03-01 18:08:00,3,9,1,18,8,6
51,12,שישי בבוקר עם גלית ויואב - עונה 2,קשת 12,183.0,4.2,2020-03-01 06:57:00,3,9,1,6,57,6
54,15,סודות מתוקים - קרין גורן,רשת 13,26.0,3.9,2020-03-01 17:33:00,3,9,1,17,33,6
55,16,העולם הבוקר,רשת 13,180.0,3.4,2020-03-01 07:00:00,3,9,1,7,0,6
56,17,גלית ואילנית - עונה 2,קשת 12,114.0,3.4,2020-03-01 15:59:00,3,9,1,15,59,6
58,19,הפרופסורים,רשת 13,26.0,2.8,2020-03-01 11:00:00,3,9,1,11,0,6
59,20,כמעט שבת שלום,קשת 12,58.0,2.5,2020-03-01 10:07:00,3,9,1,10,7,6
60,1,האח הגדול 2020,רשת 13,116.0,18.3,2020-04-01 21:18:00,4,14,1,21,18,2
61,2,חדשות שבת 12,קשת 12,81.0,16.6,2020-04-01 19:57:00,4,14,1,19,57,2
62,3,הכוכב הבא לאירוויזיון 2020,קשת 12,91.0,16.0,2020-04-01 21:17:00,4,14,1,21,17,2
63,4,פגוש את העיתונות 12 - מהדורה מוקדמת,קשת 12,52.0,12.5,2020-04-01 18:08:00,4,14,1,18,8,2
64,5,פגוש את העיתונות 12,קשת 12,45.0,12.2,2020-04-01 19:08:00,4,14,1,19,8,2
65,6,גב האומה עונה 11,רשת 13,21.0,9.9,2020-04-01 23:14:00,4,14,1,23,14,2
66,7,מהדורת השבת עם הילה קורח,רשת 13,81.0,9.8,2020-04-01 19:57:00,4,14,1,19,57,2
67,8,סדר עולמי השבוע 12,קשת 12,24.0,8.5,2020-04-01 17:36:00,4,14,1,17,36,2
68,9,אנשים עונה 16,קשת 12,33.0,8.3,2020-04-01 23:14:00,4,14,1,23,14,2
69,10,המטה המרכזי,רשת 13,47.0,8.2,2020-04-01 19:06:00,4,14,1,19,6,2
70,11,משחקי השף עונה 4 ש.ח,רשת 13,172.0,3.9,2020-04-01 15:47:00,4,14,1,15,47,2
71,12,מועדון לילה עונה 7 ש.ח,קשת 12,83.0,3.4,2020-04-01 15:53:00,4,14,1,15,53,2
72,13,ערב טוב עם גיא פינס - קשת עונה 2 לקט ש.ח,קשת 12,46.0,2.7,2020-04-01 00:12:00,4,14,1,0,12,2
73,14,שי בשידור ש.ח,רשת 13,67.0,2.7,2020-04-01 23:40:00,4,14,1,23,40,2
76,17,הכוכב הבא לאירוויזיון 2020 ש.ח,קשת 12,75.0,1.8,2020-04-01 13:19:00,4,14,1,13,19,2
78,19,אולפן שישי - הכתבות,קשת 12,62.0,1.8,2020-04-01 00:58:00,4,14,1,0,58,2
79,20,גלית ואילנית - עונה 2 ש.ח,קשת 12,102.0,1.7,2020-04-01 10:40:00,4,14,1,10,40,2
80,1,הכוכב הבא לאירוויזיון 2020,קשת 12,91.0,17.7,2020-05-01 21:16:00,5,18,1,21,16,4
81,2,חדשות 12,קשת 12,81.0,17.6,2020-05-01 19:55:00,5,18,1,19,55,4
82,3,תכנית חיסכון 12,קשת 12,26.0,13.8,2020-05-01 19:25:00,5,18,1,19,25,4
83,4,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,34.0,12.4,2020-05-01 18:45:00,5,18,1,18,45,4
84,5,משחקי השף עונה 4 - קרבות המטבח,רשת 13,88.0,10.9,2020-05-01 21:15:00,5,18,1,21,15,4
85,6,שש עם עודד בן עמי 12,קשת 12,49.0,9.1,2020-05-01 17:57:00,5,18,1,17,57,4
86,7,חי בלילה עונה 12,קשת 12,29.0,8.8,2020-05-01 22:59:00,5,18,1,22,59,4
87,8,חדשות 13,רשת 13,79.0,8.5,2020-05-01 19:57:00,5,18,1,19,57,4
88,9,חמש עם רפי רשף 12,קשת 12,55.0,8.0,2020-05-01 16:59:00,5,18,1,16,59,4
89,10,הצינור,רשת 13,30.0,7.8,2020-05-01 22:43:00,5,18,1,22,43,4
90,11,שש - אמנון לוי,רשת 13,51.0,6.1,2020-05-01 17:55:00,5,18,1,17,55,4
91,12,מהדורה ראשונה 12,קשת 12,53.0,5.8,2020-05-01 16:06:00,5,18,1,16,6,4
92,13,שווה כסף,רשת 13,25.0,5.2,2020-05-01 19:27:00,5,18,1,19,27,4
93,14,לפני החדשות,רשת 13,42.0,5.1,2020-05-01 18:46:00,5,18,1,18,46,4
94,15,היום שהיה עם טל ברמן,רשת 13,33.0,4.7,2020-05-01 23:13:00,5,18,1,23,13,4
95,16,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,123.0,4.5,2020-05-01 06:57:00,5,18,1,6,57,4
96,17,העולם הבוקר,רשת 13,120.0,4.3,2020-05-01 07:00:00,5,18,1,7,0,4
97,18,החדשות עם יעקב אילון,רשת 13,57.0,3.6,2020-05-01 16:54:00,5,18,1,16,54,4
98,19,חברות עונה 3 ש.ח,רשת 13,32.0,3.6,2020-05-01 23:46:00,5,18,1,23,46,4
99,20,סבריי מרנן עונה 3 ש.ח,קשת 12,23.0,3.2,2020-05-01 15:36:00,5,18,1,15,36,4
100,1,חדשות 12,קשת 12,81.0,14.0,2020-06-01 19:56:00,6,23,1,19,56,0
101,2,תכנית חיסכון 12,קשת 12,27.0,12.5,2020-06-01 19:25:00,6,23,1,19,25,0
103,4,משחקי השף עונה 4 - קרבות המטבח,רשת 13,110.0,11.7,2020-06-01 21:16:00,6,23,1,21,16,0
104,5,הכרישים קשת - עונה 2,קשת 12,57.0,9.8,2020-06-01 22:12:00,6,23,1,22,12,0
105,6,הצינור,רשת 13,21.0,9.1,2020-06-01 23:06:00,6,23,1,23,6,0
106,7,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,33.0,8.8,2020-06-01 18:47:00,6,23,1,18,47,0
107,8,שש עם עודד בן עמי 12,קשת 12,50.0,8.3,2020-06-01 17:57:00,6,23,1,17,57,0
108,9,חדשות 13,רשת 13,79.0,7.0,2020-06-01 19:56:00,6,23,1,19,56,0
109,10,חמש עם רפי רשף 12,קשת 12,55.0,6.4,2020-06-01 16:59:00,6,23,1,16,59,0
110,11,חי בלילה עונה 12,קשת 12,25.0,5.5,2020-06-01 23:14:00,6,23,1,23,14,0
111,12,שווה כסף,רשת 13,24.0,5.5,2020-06-01 19:28:00,6,23,1,19,28,0
112,13,לפני החדשות,רשת 13,42.0,5.4,2020-06-01 18:45:00,6,23,1,18,45,0
113,14,היום שהיה עם טל ברמן,רשת 13,25.0,5.2,2020-06-01 23:38:00,6,23,1,23,38,0
114,15,מהדורה ראשונה 12,קשת 12,51.0,4.8,2020-06-01 16:08:00,6,23,1,16,8,0
115,16,שש - אמנון לוי,רשת 13,52.0,4.6,2020-06-01 17:53:00,6,23,1,17,53,0
116,17,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,121.0,4.3,2020-06-01 06:58:00,6,23,1,6,58,0
117,18,סבריי מרנן עונה 3 ש.ח,קשת 12,24.0,4.2,2020-06-01 15:35:00,6,23,1,15,35,0
118,19,העולם הבוקר,רשת 13,120.0,3.9,2020-06-01 07:00:00,6,23,1,7,0,0
119,20,חברות עונה 3 ש.ח,רשת 13,34.0,3.9,2020-06-01 00:04:00,6,23,1,0,4,0
120,1,חדשות 12,קשת 12,82.0,17.0,2020-07-01 19:57:00,7,27,1,19,57,2
121,2,מועדון לילה עונה 7,קשת 12,95.0,14.5,2020-07-01 21:19:00,7,27,1,21,19,2
122,3,שנות ה-80 עונה 5,רשת 13,38.0,13.3,2020-07-01 21:16:00,7,27,1,21,16,2
123,4,תכנית חיסכון 12,קשת 12,27.0,12.7,2020-07-01 19:25:00,7,27,1,19,25,2
124,5,שנות ה-80 ש.ח,רשת 13,41.0,10.3,2020-07-01 21:54:00,7,27,1,21,54,2
125,6,חדשות 13,רשת 13,79.0,10.2,2020-07-01 19:57:00,7,27,1,19,57,2
126,7,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,32.0,9.5,2020-07-01 18:47:00,7,27,1,18,47,2
127,8,שש עם עודד בן עמי 12,קשת 12,50.0,9.5,2020-07-01 17:57:00,7,27,1,17,57,2
128,9,חי בלילה עונה 12,קשת 12,30.0,9.5,2020-07-01 22:54:00,7,27,1,22,54,2
129,10,שווה כסף,רשת 13,25.0,8.4,2020-07-01 19:28:00,7,27,1,19,28,2
130,11,חמש עם רפי רשף 12,קשת 12,56.0,7.8,2020-07-01 16:59:00,7,27,1,16,59,2
131,12,לפני החדשות,רשת 13,43.0,7.6,2020-07-01 18:45:00,7,27,1,18,45,2
132,13,הצינור,רשת 13,34.0,6.8,2020-07-01 22:34:00,7,27,1,22,34,2
133,14,מהדורה ראשונה 12,קשת 12,52.0,6.0,2020-07-01 16:06:00,7,27,1,16,6,2
134,15,שש - אמנון לוי,רשת 13,52.0,5.7,2020-07-01 17:53:00,7,27,1,17,53,2
135,16,החדשות עם יעקב אילון,רשת 13,55.0,4.4,2020-07-01 16:55:00,7,27,1,16,55,2
136,17,היום שהיה עם טל ברמן,רשת 13,32.0,4.3,2020-07-01 23:21:00,7,27,1,23,21,2
137,18,סבריי מרנן עונה 3 ש.ח,קשת 12,25.0,4.0,2020-07-01 15:35:00,7,27,1,15,35,2
138,19,העולם הבוקר,רשת 13,120.0,4.0,2020-07-01 07:00:00,7,27,1,7,0,2
139,20,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,122.0,3.8,2020-07-01 06:57:00,7,27,1,6,57,2
140,1,ארץ נהדרת עונה 17,קשת 12,86.0,19.6,2020-08-01 21:24:00,8,31,1,21,24,5
141,2,חדשות 12,קשת 12,88.0,18.5,2020-08-01 19:57:00,8,31,1,19,57,5
142,3,האח הגדול 2020,רשת 13,121.0,16.3,2020-08-01 21:15:00,8,31,1,21,15,5
143,4,תכנית חיסכון 12,קשת 12,32.0,13.9,2020-08-01 19:23:00,8,31,1,19,23,5
144,5,חדשות 13,רשת 13,80.0,12.6,2020-08-01 19:56:00,8,31,1,19,56,5
145,6,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,31.0,11.8,2020-08-01 18:47:00,8,31,1,18,47,5
146,7,שש עם עודד בן עמי 12,קשת 12,52.0,11.2,2020-08-01 17:54:00,8,31,1,17,54,5
147,8,חדשות 13 - מוקדמת,רשת 13,26.0,10.3,2020-08-01 19:30:00,8,31,1,19,30,5
148,9,חמש עם רפי רשף 12,קשת 12,53.0,10.2,2020-08-01 16:59:00,8,31,1,16,59,5
149,10,חי בלילה עונה 12,קשת 12,26.0,9.3,2020-08-01 22:56:00,8,31,1,22,56,5
150,11,לפני החדשות,רשת 13,40.0,8.9,2020-08-01 18:45:00,8,31,1,18,45,5
151,12,מהדורה ראשונה 12,קשת 12,52.0,7.5,2020-08-01 16:06:00,8,31,1,16,6,5
152,13,שש - אמנון לוי,רשת 13,51.0,7.5,2020-08-01 17:54:00,8,31,1,17,54,5
155,16,החדשות עם יעקב אילון,רשת 13,55.0,6.5,2020-08-01 16:57:00,8,31,1,16,57,5
156,17,היום שהיה עם טל ברמן,רשת 13,21.0,6.0,2020-08-01 23:48:00,8,31,1,23,48,5
159,20,חברות עונה 3 ש.ח,רשת 13,33.0,4.3,2020-08-01 00:08:00,8,31,1,0,8,5
160,1,חדשות 12,קשת 12,94.0,16.0,2020-09-01 19:55:00,9,36,1,19,55,1
161,2,חדשות 12 - מוקדמת,קשת 12,36.0,13.3,2020-09-01 19:19:00,9,36,1,19,19,1
162,3,הכוכב הבא לאירוויזיון 2020,קשת 12,51.0,13.1,2020-09-01 21:30:00,9,36,1,21,30,1
163,4,האח הגדול 2020,רשת 13,75.0,12.9,2020-09-01 21:25:00,9,36,1,21,25,1
164,5,תכנית חיסכון 12,קשת 12,29.0,11.3,2020-09-01 18:47:00,9,36,1,18,47,1
165,6,חדשות 13,רשת 13,91.0,11.3,2020-09-01 19:55:00,9,36,1,19,55,1
166,7,שש עם עודד בן עמי 12,קשת 12,50.0,9.7,2020-09-01 17:56:00,9,36,1,17,56,1
167,8,חדשות 13 - מוקדמת,רשת 13,25.0,8.0,2020-09-01 19:29:00,9,36,1,19,29,1
169,10,חמש עם רפי רשף 12,קשת 12,56.0,7.9,2020-09-01 16:58:00,9,36,1,16,58,1
170,11,גב האומה עונה 11,רשת 13,28.0,7.8,2020-09-01 22:41:00,9,36,1,22,41,1
171,12,מהדורה ראשונה 12,קשת 12,59.0,6.6,2020-09-01 16:00:00,9,36,1,16,0,1
172,13,לפני החדשות,רשת 13,39.0,6.6,2020-09-01 18:45:00,9,36,1,18,45,1
173,14,היום שהיה עם טל ברמן,רשת 13,32.0,6.4,2020-09-01 23:09:00,9,36,1,23,9,1
174,15,שש - אמנון לוי,רשת 13,50.0,6.0,2020-09-01 17:55:00,9,36,1,17,55,1
175,16,רפי רשף אינטימי ש.ח,קשת 12,32.0,5.9,2020-09-01 22:58:00,9,36,1,22,58,1
176,17,החדשות עם יעקב אילון,רשת 13,55.0,5.9,2020-09-01 16:57:00,9,36,1,16,57,1
177,18,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,122.0,5.3,2020-09-01 06:57:00,9,36,1,6,57,1
178,19,ערב טוב עם גיא פינס - קשת עונה 2 ש.ח,קשת 12,35.0,4.6,2020-09-01 23:50:00,9,36,1,23,50,1
179,20,סבריי מרנן עונה 3 ש.ח,קשת 12,25.0,4.2,2020-09-01 15:35:00,9,36,1,15,35,1
180,1,אולפן שישי 12,קשת 12,107.0,12.2,2020-10-01 19:56:00,10,40,1,19,56,3
181,2,סבריי מרנן עונה 6,קשת 12,32.0,12.2,2020-10-01 21:42:00,10,40,1,21,42,3
182,3,סבריי מרנן עונה 6,קשת 12,36.0,11.2,2020-10-01 22:14:00,10,40,1,22,14,3
183,4,מועדון לילה עונה 7 ש.ח,קשת 12,74.0,6.9,2020-10-01 22:50:00,10,40,1,22,50,3
184,5,שישי עם אילה חסון,רשת 13,104.0,6.4,2020-10-01 19:56:00,10,40,1,19,56,3
185,6,אופירה וברקוביץ' - עונה 3,קשת 12,109.0,5.9,2020-10-01 18:05:00,10,40,1,18,5,3
186,7,שי בשידור,רשת 13,76.0,5.4,2020-10-01 21:40:00,10,40,1,21,40,3
187,8,שישי - סיכום שבוע,רשת 13,26.0,5.2,2020-10-01 19:30:00,10,40,1,19,30,3
188,9,גלית ואילנית - עונה 2,קשת 12,114.0,4.4,2020-10-01 15:59:00,10,40,1,15,59,3
189,10,שישי בבוקר עם גלית ויואב - עונה 2,קשת 12,182.0,4.0,2020-10-01 06:57:00,10,40,1,6,57,3
190,11,כמעט שבת שלום,קשת 12,61.0,3.9,2020-10-01 10:09:00,10,40,1,10,9,3
191,12,העולם הבוקר,רשת 13,180.0,3.7,2020-10-01 07:00:00,10,40,1,7,0,3
193,14,איזה צחוק עם אבי נוסבאום ש.ח,קשת 12,80.0,3.7,2020-10-01 00:04:00,10,40,1,0,4,3
194,15,המסע המופלא של אהרוני וגידי עונה 3 ש.ח,רשת 13,52.0,3.6,2020-10-01 18:38:00,10,40,1,18,38,3
195,16,פותחים שישי,רשת 13,53.0,3.0,2020-10-01 10:00:00,10,40,1,10,0,3
196,17,מועדון לילה עונה 7 ש.ח,קשת 12,69.0,2.6,2020-10-01 14:50:00,10,40,1,14,50,3
197,18,גלית ואילנית - עונה 2 ש.ח,קשת 12,32.0,2.6,2020-10-01 01:28:00,10,40,1,1,28,3
198,19,שש עם גלית ויואב - עונה 2,קשת 12,42.0,2.5,2020-10-01 06:15:00,10,40,1,6,15,3
199,20,סודות מתוקים - קרין גורן,רשת 13,36.0,2.5,2020-10-01 17:53:00,10,40,1,17,53,3
200,1,האח הגדול 2020,רשת 13,92.0,16.5,2020-11-01 21:15:00,11,44,1,21,15,6
201,2,הכוכב הבא לאירוויזיון 2020,קשת 12,97.0,15.1,2020-11-01 21:20:00,11,44,1,21,20,6
202,3,חדשות שבת 12,קשת 12,83.0,15.1,2020-11-01 19:57:00,11,44,1,19,57,6
203,4,אנשים עונה 16,קשת 12,33.0,10.4,2020-11-01 23:02:00,11,44,1,23,2,6
204,5,פגוש את העיתונות 12,קשת 12,45.0,9.6,2020-11-01 19:08:00,11,44,1,19,8,6
205,6,מהדורת השבת עם הילה קורח,רשת 13,79.0,9.5,2020-11-01 19:57:00,11,44,1,19,57,6
206,7,גב האומה עונה 11,רשת 13,31.0,7.2,2020-11-01 22:47:00,11,44,1,22,47,6
207,8,המטה המרכזי,רשת 13,45.0,7.0,2020-11-01 19:08:00,11,44,1,19,8,6
208,9,ארץ נהדרת עונה 17 ש.ח,קשת 12,93.0,6.1,2020-11-01 17:21:00,11,44,1,17,21,6
209,10,נפלת חזק עונה 2 ש.ח,רשת 13,25.0,4.4,2020-11-01 23:21:00,11,44,1,23,21,6
210,11,משחקי השף עונה 4 ש.ח,רשת 13,168.0,3.9,2020-11-01 15:54:00,11,44,1,15,54,6
211,12,סדר עולמי השבוע 12,קשת 12,26.0,3.7,2020-11-01 16:51:00,11,44,1,16,51,6
212,13,ערב טוב עם גיא פינס - קשת עונה 2 לקט ש.ח,קשת 12,45.0,3.2,2020-11-01 23:54:00,11,44,1,23,54,6
214,15,שי בשידור ש.ח,רשת 13,72.0,2.8,2020-11-01 23:50:00,11,44,1,23,50,6
215,16,גלית ואילנית - עונה 2 ש.ח,קשת 12,67.0,2.5,2020-11-01 02:00:00,11,44,1,2,0,6
216,17,הכוכב הבא לאירוויזיון 2020 ש.ח,קשת 12,53.0,2.4,2020-11-01 15:50:00,11,44,1,15,50,6
217,18,רפי רשף אינטימי ש.ח,קשת 12,31.0,2.3,2020-11-01 08:29:00,11,44,1,8,29,6
218,19,האח הגדול 2020 ש.ח,רשת 13,60.0,1.9,2020-11-01 02:00:00,11,44,1,2,0,6
219,20,שישי עם אילה חסון - הכתבות,רשת 13,52.0,1.6,2020-11-01 01:07:00,11,44,1,1,7,6
220,1,חדשות 12,קשת 12,82.0,16.5,2020-12-01 19:57:00,12,49,1,19,57,1
222,3,משחקי השף עונה 4 - קרבות המטבח,רשת 13,91.0,12.6,2020-12-01 21:18:00,12,49,1,21,18,1
223,4,הכרישים קשת - עונה 2,קשת 12,52.0,11.6,2020-12-01 22:14:00,12,49,1,22,14,1
224,5,תכנית חיסכון 12,קשת 12,30.0,11.6,2020-12-01 19:23:00,12,49,1,19,23,1
225,6,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,31.0,10.2,2020-12-01 18:46:00,12,49,1,18,46,1
226,7,שש עם עודד בן עמי 12,קשת 12,49.0,9.1,2020-12-01 17:57:00,12,49,1,17,57,1
227,8,חדשות 13,רשת 13,81.0,8.9,2020-12-01 19:57:00,12,49,1,19,57,1
228,9,חמש עם רפי רשף 12,קשת 12,56.0,8.3,2020-12-01 16:58:00,12,49,1,16,58,1
229,10,חי בלילה עונה 12,קשת 12,27.0,8.0,2020-12-01 23:13:00,12,49,1,23,13,1
230,11,הצינור,רשת 13,29.0,7.6,2020-12-01 22:49:00,12,49,1,22,49,1
231,12,מהדורה ראשונה 12,קשת 12,54.0,5.7,2020-12-01 16:04:00,12,49,1,16,4,1
232,13,שווה כסף,רשת 13,25.0,5.6,2020-12-01 19:28:00,12,49,1,19,28,1
233,14,שש - אמנון לוי,רשת 13,51.0,5.5,2020-12-01 17:54:00,12,49,1,17,54,1
234,15,לפני החדשות,רשת 13,43.0,5.4,2020-12-01 18:45:00,12,49,1,18,45,1
235,16,העולם הבוקר,רשת 13,120.0,4.1,2020-12-01 07:00:00,12,49,1,7,0,1
236,17,היום שהיה עם טל ברמן,רשת 13,28.0,3.9,2020-12-01 23:18:00,12,49,1,23,18,1
237,18,ערב טוב עם גיא פינס - קשת עונה 2 ש.ח,קשת 12,31.0,3.4,2020-12-01 23:58:00,12,49,1,23,58,1
238,19,סבריי מרנן עונה 3 ש.ח,קשת 12,25.0,3.3,2020-12-01 15:35:00,12,49,1,15,35,1
240,1,חדשות 12,קשת 12,91.0,15.2,2020-01-13 19:56:00,1,3,13,19,56,0
241,2,הכוכב הבא לאירוויזיון 2020,קשת 12,41.0,14.1,2020-01-13 21:39:00,1,3,13,21,39,0
242,3,תכנית חיסכון 12,קשת 12,28.0,10.4,2020-01-13 19:24:00,1,3,13,19,24,0
243,4,משחקי השף עונה 4 - קרבות המטבח,רשת 13,77.0,9.7,2020-01-13 21:20:00,1,3,13,21,20,0
244,5,הצינור,רשת 13,27.0,9.2,2020-01-13 22:37:00,1,3,13,22,37,0
245,6,זה לא הגיל עונה 2,קשת 12,31.0,9.2,2020-01-13 22:20:00,1,3,13,22,20,0
246,7,חדשות 13,רשת 13,84.0,8.6,2020-01-13 19:56:00,1,3,13,19,56,0
247,8,ערב טוב עם גיא פינס - קשת עונה 2,קשת 12,32.0,7.8,2020-01-13 18:46:00,1,3,13,18,46,0
248,9,שש עם עודד בן עמי 12,קשת 12,49.0,7.7,2020-01-13 17:57:00,1,3,13,17,57,0
249,10,חמש עם רפי רשף 12,קשת 12,56.0,6.8,2020-01-13 16:59:00,1,3,13,16,59,0
250,11,שווה כסף,רשת 13,24.0,6.2,2020-01-13 19:28:00,1,3,13,19,28,0
252,13,לפני החדשות,רשת 13,43.0,5.7,2020-01-13 18:45:00,1,3,13,18,45,0
253,14,מהדורה ראשונה 12,קשת 12,52.0,5.2,2020-01-13 16:06:00,1,3,13,16,6,0
254,15,שש - אמנון לוי,רשת 13,50.0,4.6,2020-01-13 17:55:00,1,3,13,17,55,0
255,16,היום שהיה עם טל ברמן,רשת 13,32.0,4.4,2020-01-13 23:17:00,1,3,13,23,17,0
256,17,העולם הבוקר,רשת 13,120.0,3.3,2020-01-13 07:00:00,1,3,13,7,0,0
257,18,חדשות הבוקר עם ניב רסקין עונה 2,קשת 12,122.0,3.3,2020-01-13 06:58:00,1,3,13,6,58,0
258,19,ערב טוב עם גיא פינס - קשת עונה 2 ש.ח,קשת 12,33.0,3.1,2020-01-13 23:44:00,1,3,13,23,44,0
259,20,החדשות עם יעקב אילון,רשת 13,57.0,3.0,2020-01-13 16:55:00,1,3,13,16,55,0
260,1,חדשות 12,קשת 12,83.0,13.2,2020-01-14 19:56:00,1,3,14,19,56,1
261,2,מועדון לילה עונה 7,קשת 12,91.0,11.8,2020-01-14 21:19:00,1,3,14,21,19,1
262,3,שנות ה-80 עונה 5,רשת 13,41.0,10.1,2020-01-14 21:19:00,1,3,14,21,19,1
263,4,שנות ה-80 עונה 2 ש.ח,רשת 13,41.0,9.8,2020-01-14 22:00:00,1,3,14,22,0,1
264,5,תכנית חיסכון 12,קשת 12,26.0,9.0,2020-01-14 19:26:00,1,3,14,19,26,1
